,LOC,Complexity,Dev_Experience,Module_Type,Dev_Mood,Commit_Message_Length,Buggy
0,152,9,9,UI,1,75,0
1,485,10,1,UI,4,83,0
2,320,30,5,API,6,38,0
3,156,8,4,API,7,50,0
4,121,23,8,Backend,3,72,0
5,750,24,1,Backend,9,82,1
6,70,37,9,API,7,82,0
7,664,24,6,API,1,20,0
8,171,16,4,UI,2,75,0
9,516,5,9,API,1,23,0
10,264,30,5,Backend,9,6,0
11,380,18,5,UI,9,14,0
12,508,42,5,Backend,7,54,1
13,137,41,1,UI,3,85,0
14,422,15,1,API,5,16,0
15,149,40,8,Backend,4,74,0
16,713,17,8,UI,7,26,0
17,180,47,6,UI,9,36,0
18,711,7,4,API,2,88,0
19,358,37,2,API,8,5,0
20,393,10,2,API,9,58,0
21,541,14,9,Backend,9,62,1
22,463,9,5,UI,7,74,0
23,435,27,4,API,9,87,1
24,241,14,1,Backend,9,22,0
25,326,48,7,Backend,3,10,0
26,210,6,3,Backend,4,49,0
27,509,17,6,API,2,27,0
28,363,44,5,API,3,27,1
29,71,6,5,UI,5,30,0
30,302,24,5,UI,5,81,0
31,797,5,1,API,6,11,0
32,610,41,1,Backend,7,83,1
33,524,13,3,Backend,7,48,0
34,108,21,4,Backend,1,31,0
35,560,13,5,UI,2,30,0
36,731,15,2,Backend,9,83,0
37,525,19,8,UI,2,40,0
38,749,28,2,UI,6,59,1
39,239,42,9,Backend,1,68,0
40,736,39,2,Backend,3,95,1
41,612,34,9,API,2,61,1
42,616,35,7,API,3,73,1
43,293,9,8,Backend,5,65,0
44,554,48,2,UI,6,6,1
45,180,18,7,UI,9,59,0
46,534,15,6,UI,4,84,0
47,696,13,4,UI,7,91,0
48,70,38,7,UI,6,42,0
49,216,16,4,API,2,84,0
50,323,39,2,Backend,8,82,0
51,437,39,7,API,7,33,1
52,650,5,8,UI,7,30,0
53,365,44,2,UI,8,39,1
54,63,26,5,UI,1,83,0
55,291,33,1,UI,1,71,0
56,395,12,7,Backend,8,91,0
57,614,15,8,UI,4,33,0
58,389,45,6,Backend,5,38,0
59,141,41,5,UI,8,45,0
60,416,18,6,Backend,5,45,0
61,504,34,2,API,4,27,1
62,477,39,1,UI,6,75,1
63,558,25,7,Backend,5,7,0
64,84,41,7,API,7,62,0
65,255,9,2,UI,7,36,0
66,130,23,2,UI,4,35,0
67,611,18,1,UI,5,86,0
68,437,30,8,Backend,3,47,1
69,51,8,8,Backend,4,11,0
70,439,29,1,API,4,5,0
71,615,49,8,Backend,3,65,1
72,155,46,9,Backend,5,18,1
73,526,29,4,UI,5,56,1
74,752,22,1,UI,7,10,0
75,451,44,1,UI,4,14,1
76,779,12,3,UI,4,75,0
77,605,43,5,UI,9,94,1
78,211,44,5,UI,6,34,0
79,251,18,9,UI,4,25,0
80,319,36,2,API,2,64,0
81,320,42,2,API,6,85,0
82,505,37,6,API,2,78,1
83,511,27,9,API,5,67,0
84,776,19,1,UI,6,46,0
85,301,37,9,API,4,55,1
86,751,29,9,UI,3,68,1
87,345,21,9,API,7,80,0
88,774,37,5,Backend,2,60,1
89,769,6,9,API,6,84,0
90,798,18,4,API,4,45,0
91,387,44,2,UI,6,36,0
92,102,44,6,API,4,19,0
93,266,43,4,Backend,4,66,0
94,237,10,6,UI,4,31,1
95,429,10,3,UI,9,32,0
96,542,7,6,API,7,85,0
97,90,11,2,UI,3,68,0
98,206,12,2,UI,3,63,0
99,64,46,9,UI,6,62,0
100,114,19,7,UI,6,6,0
101,570,33,3,UI,4,40,1
102,393,37,1,UI,9,75,0
103,178,34,8,Backend,4,17,0
104,697,43,6,API,9,19,1
105,521,31,7,Backend,4,93,1
106,112,40,9,UI,2,91,1
107,188,33,5,UI,2,64,0
108,548,42,1,API,5,26,1
109,642,37,7,Backend,4,67,1
110,441,41,5,API,7,94,1
111,724,31,3,Backend,5,79,1
112,468,37,9,UI,6,78,1
113,338,8,1,API,4,29,1
114,428,26,1,API,2,52,1
115,539,6,1,UI,9,47,1
116,280,14,3,API,7,42,1
117,90,9,6,Backend,4,45,0
118,77,14,3,Backend,3,49,0
119,184,37,8,Backend,3,92,1
120,250,42,2,Backend,9,44,0
121,82,17,9,UI,5,21,0
122,97,35,3,API,3,92,1
123,552,40,5,Backend,5,61,1
124,456,49,8,UI,2,6,1
125,623,28,2,API,4,66,1
126,777,19,6,API,2,92,0
127,148,33,5,UI,2,13,0
128,733,12,9,UI,8,72,0
129,775,9,5,Backend,1,85,0
130,596,33,2,API,7,21,1
131,788,8,5,API,5,54,0
132,662,16,4,UI,8,98,0
133,511,49,7,API,1,44,1
134,692,6,6,Backend,7,62,0
135,54,31,2,API,5,79,0
136,267,35,5,UI,4,89,0
137,552,40,7,UI,7,25,1
138,447,40,7,Backend,2,22,0
139,442,30,5,Backend,1,59,1
140,256,47,9,API,1,33,0
141,64,31,4,API,1,28,0
142,603,9,3,UI,5,78,0
